query_name,id,display_name,works_api_url,h_index,works_count,country_code,matched
Aakriti Kumar,https://openalex.org/A5040234818,Aakriti Kumar,https://api.openalex.org/works?filter=author.id:A5040234818,9.0,20.0,US,True
Aaron Clauset,https://openalex.org/A5014647140,Aaron Clauset,https://api.openalex.org/works?filter=author.id:A5014647140,47.0,267.0,US,True
Aaron D Nichols,https://openalex.org/A5089395967,Aaron Nichols,https://api.openalex.org/works?filter=author.id:A5089395967,3.0,10.0,US,True
Aaron Reeves,https://openalex.org/A5039995516,Aaron Reeves,https://api.openalex.org/works?filter=author.id:A5039995516,48.0,254.0,GB,True
Aaron Schein,https://openalex.org/A5021334672,Joshua Maynez,https://api.openalex.org/works?filter=author.id:A5021334672,12.0,50.0,,True
Abdulaziz Alhumaidy,,,,,,,False
Abdullah Almaatouq,https://openalex.org/A5064296964,Abdullah Almaatouq,https://api.openalex.org/works?filter=author.id:A5064296964,17.0,101.0,,True
Abhisek Dash,https://openalex.org/A5046983868,Abhisek Dash,https://api.openalex.org/works?filter=author.id:A5046983868,5.0,39.0,,True
Abraham Israeli,https://openalex.org/A5068763840,A Israeli,https://api.openalex.org/works?filter=author.id:A5068763840,20.0,109.0,,True
Achim Edelmann,https://openalex.org/A5083303782,S. Kellogg,https://api.openalex.org/works?filter=author.id:A5083303782,11.0,87.0,FR,True
Achyutarama R Ganti,,,,,,,False
Adam (Zhengzi) Zhou,,,,,,,False
Adam Stefkovics,https://openalex.org/A5074354806,Ádám Stefkovics,https://api.openalex.org/works?filter=author.id:A5074354806,7.0,46.0,US,True
Adel Daoud,https://openalex.org/A5090745602,Adel Daoud,https://api.openalex.org/works?filter=author.id:A5090745602,21.0,143.0,SE,True
Adeline Clarke,https://openalex.org/A5099120990,Adeline Clarke,https://api.openalex.org/works?filter=author.id:A5099120990,0.0,2.0,FI,True
Adiba Mahbub Proma,https://openalex.org/A5011112366,Adiba Mahbub Proma,https://api.openalex.org/works?filter=author.id:A5011112366,2.0,12.0,,True
Adolfo Fuentes-Jofre,,,,,,,False
Adrien Letellier,https://openalex.org/A5082562050,Adrien Letellier,https://api.openalex.org/works?filter=author.id:A5082562050,4.0,5.0,CA,True
Adriënne Mendrik,https://openalex.org/A5015319043,Adriënne M. Mendrik,https://api.openalex.org/works?filter=author.id:A5015319043,14.0,43.0,NL,True
Agnieszka Czaplicka,https://openalex.org/A5086011172,Agnieszka Czaplicka,https://api.openalex.org/works?filter=author.id:A5086011172,6.0,18.0,PL,True
Agnieszka Falenska,https://openalex.org/A5039380414,David Vilares,https://api.openalex.org/works?filter=author.id:A5039380414,19.0,111.0,,True
Agostino Merico,https://openalex.org/A5067493080,Agostino Merico,https://api.openalex.org/works?filter=author.id:A5067493080,34.0,93.0,DE,True
Agustin Orozco,https://openalex.org/A5109441296,Agustin Orozco,https://api.openalex.org/works?filter=author.id:A5109441296,1.0,6.0,US,True
Ahmet Furkan Ün,https://openalex.org/A5115780938,Ahmet Furkan Un,https://api.openalex.org/works?filter=author.id:A5115780938,0.0,1.0,,True
Aimee Smith,https://openalex.org/A5101494984,Aimee W. Smith,https://api.openalex.org/works?filter=author.id:A5101494984,15.0,52.0,IE,True
Akhil Arora,https://openalex.org/A5002429891,Anmol Arora,https://api.openalex.org/works?filter=author.id:A5002429891,24.0,203.0,IN,True
Akihiro Kameda,https://openalex.org/A5005645734,Akihiro Kameda,https://api.openalex.org/works?filter=author.id:A5005645734,7.0,23.0,US,True
Akiko Matsuo,https://openalex.org/A5022066530,Akiko Matsuo,https://api.openalex.org/works?filter=author.id:A5022066530,32.0,356.0,JP,True
Akira Matsui,https://openalex.org/A5082554858,Akira Matsui,https://api.openalex.org/works?filter=author.id:A5082554858,55.0,642.0,JP,True
Akrati Saxena,https://openalex.org/A5055236010,Akrati Saxena,https://api.openalex.org/works?filter=author.id:A5055236010,12.0,88.0,NL,True
Alec Kirkley,https://openalex.org/A5058731900,Alec Kirkley,https://api.openalex.org/works?filter=author.id:A5058731900,10.0,59.0,,True
Alejandro De la fuente Cuesta,,,,,,,False
Aleksandra Torbica,https://openalex.org/A5008132739,Aleksandra Torbica,https://api.openalex.org/works?filter=author.id:A5008132739,35.0,190.0,IT,True
Alessandro Cortese,https://openalex.org/A5083178246,Alessandro J. Cortese,https://api.openalex.org/works?filter=author.id:A5083178246,3.0,6.0,CH,True
Alessandro Flammini,https://openalex.org/A5011228873,Alessandro Flammini,https://api.openalex.org/works?filter=author.id:A5011228873,61.0,243.0,US,True
Alessandro Galeazzi,https://openalex.org/A5047301239,Alessandro Galeazzi,https://api.openalex.org/works?filter=author.id:A5047301239,13.0,52.0,IT,True
Alessandro Lomi,https://openalex.org/A5018108132,Alessandro Lomi,https://api.openalex.org/works?filter=author.id:A5018108132,35.0,187.0,CH,True
Alessandro Pluchino,https://openalex.org/A5032482559,Alessandro Pluchino,https://api.openalex.org/works?filter=author.id:A5032482559,32.0,218.0,IT,True
Alessandro Riboni,https://openalex.org/A5011822190,Francisco J. Ruge‐Murcia,https://api.openalex.org/works?filter=author.id:A5011822190,25.0,94.0,CA,True
Alessia Galdeman,https://openalex.org/A5052788698,Alessia Galdeman,https://api.openalex.org/works?filter=author.id:A5052788698,5.0,15.0,IT,True
Alessia Melegaro,https://openalex.org/A5061900944,Alessia Melegaro,https://api.openalex.org/works?filter=author.id:A5061900944,41.0,136.0,IT,True
Alex Berke,https://openalex.org/A5007875216,Alex Berke,https://api.openalex.org/works?filter=author.id:A5007875216,10.0,36.0,US,True
Alex Koch,https://openalex.org/A5007830440,Alex Koch,https://api.openalex.org/works?filter=author.id:A5007830440,24.0,79.0,,True
Alex Pentland,https://openalex.org/A5007176508,Alex Pentland,https://api.openalex.org/works?filter=author.id:A5007176508,121.0,1001.0,RU,True
Alexander Hartland,https://openalex.org/A5010098341,Alexander W. Hartland,https://api.openalex.org/works?filter=author.id:A5010098341,5.0,12.0,GB,True
Alexander Mintz,https://openalex.org/A5011877450,Alexander Mintz,https://api.openalex.org/works?filter=author.id:A5011877450,7.0,19.0,,True
Alexandra Rottenkolber,https://openalex.org/A5119600915,Alexandra Rottenkolber,https://api.openalex.org/works?filter=author.id:A5119600915,0.0,1.0,,True
Alexandra Segerberg,https://openalex.org/A5054478253,Alexandra Segerberg,https://api.openalex.org/works?filter=author.id:A5054478253,14.0,38.0,SE,True
Alexandre Bovet,https://openalex.org/A5018986925,Alexandre Bovet,https://api.openalex.org/works?filter=author.id:A5018986925,15.0,84.0,,True
Alexandre Evsukoff,https://openalex.org/A5080030270,Alexandre G. Evsukoff,https://api.openalex.org/works?filter=author.id:A5080030270,20.0,126.0,BR,True
Alexandria Leto,https://openalex.org/A5093992721,Alexandria Leto,https://api.openalex.org/works?filter=author.id:A5093992721,1.0,4.0,,True
Alexi Quintana Mathé,https://openalex.org/A5020591202,Alexi Quintana Mathé,https://api.openalex.org/works?filter=author.id:A5020591202,1.0,5.0,MX,True
Ali Salloum,https://openalex.org/A5042277903,M. Thoulouzan,https://api.openalex.org/works?filter=author.id:A5042277903,10.0,106.0,FR,True
Ali Tafti,https://openalex.org/A5000760201,Ali Tafti,https://api.openalex.org/works?filter=author.id:A5000760201,15.0,62.0,IR,True
Aliakbar Akbaritabar,https://openalex.org/A5067953991,Aliakbar Akbaritabar,https://api.openalex.org/works?filter=author.id:A5067953991,12.0,57.0,DE,True
Alina Herderich,https://openalex.org/A5017332030,Alina Herderich,https://api.openalex.org/works?filter=author.id:A5017332030,4.0,20.0,AT,True
Alisa Kanganis,https://openalex.org/A5117815526,Alisa Kanganis,https://api.openalex.org/works?filter=author.id:A5117815526,0.0,2.0,,True
Allison Koenecke,https://openalex.org/A5065441417,Joshua T Vogelstein,https://api.openalex.org/works?filter=author.id:A5065441417,48.0,582.0,US,True
Almog Simchon,https://openalex.org/A5031514121,Almog Simchon,https://api.openalex.org/works?filter=author.id:A5031514121,10.0,51.0,IL,True
Alvin Zhou,https://openalex.org/A5058939619,Alvin Zhou,https://api.openalex.org/works?filter=author.id:A5058939619,18.0,65.0,US,True
Amal Labbouz,https://openalex.org/A5052432924,Amal Labbouz,https://api.openalex.org/works?filter=author.id:A5052432924,0.0,1.0,DE,True
Amir Ghasemian,https://openalex.org/A5030987696,Amir Ghasemian,https://api.openalex.org/works?filter=author.id:A5030987696,9.0,26.0,IR,True
Amir Goldberg,https://openalex.org/A5003121162,Amir Goldberg,https://api.openalex.org/works?filter=author.id:A5003121162,18.0,79.0,US,True
Amir Tohidi Kalorazi,https://openalex.org/A5066951068,Amir Tohidi Kalorazi,https://api.openalex.org/works?filter=author.id:A5066951068,0.0,1.0,,True
AmirEmad Ghassami,https://openalex.org/A5078609284,AmirEmad Ghassami,https://api.openalex.org/works?filter=author.id:A5078609284,11.0,66.0,,True
Amirhossein Nakhaei,,,,,,,False
Amit Goldenberg,https://openalex.org/A5025218700,Amit Goldenberg,https://api.openalex.org/works?filter=author.id:A5025218700,30.0,171.0,US,True
Amr Hilal,https://openalex.org/A5001076668,Amr Hilal,https://api.openalex.org/works?filter=author.id:A5001076668,5.0,23.0,US,True
Amy L Murphy,https://openalex.org/A5002205400,Amy L. Murphy,https://api.openalex.org/works?filter=author.id:A5002205400,36.0,190.0,IT,True
Ana Ma,https://openalex.org/A5057437867,A. Bertolini,https://api.openalex.org/works?filter=author.id:A5057437867,97.0,435.0,NL,True
Ana Vranić,https://openalex.org/A5018089491,Ana Vranić,https://api.openalex.org/works?filter=author.id:A5018089491,3.0,15.0,PT,True
Anastasia Giachanou,https://openalex.org/A5072912426,Anastasia Giachanou,https://api.openalex.org/works?filter=author.id:A5072912426,21.0,80.0,NL,True
Anastasia Golovin,https://openalex.org/A5040873440,Anastasia Golovin,https://api.openalex.org/works?filter=author.id:A5040873440,5.0,18.0,DE,True
Anastasia Menshikova,https://openalex.org/A5024468323,Anastasia Menshikova,https://api.openalex.org/works?filter=author.id:A5024468323,2.0,6.0,SE,True
Anastassia Vybornova,https://openalex.org/A5077871284,Anastassia Vybornova,https://api.openalex.org/works?filter=author.id:A5077871284,5.0,23.0,DK,True
Anca Balietti,https://openalex.org/A5009838386,Anca Balietti,https://api.openalex.org/works?filter=author.id:A5009838386,2.0,18.0,DE,True
Anders Giovanni Møller,https://openalex.org/A5020418858,Anders Giovanni Møller,https://api.openalex.org/works?filter=author.id:A5020418858,5.0,9.0,,True
Anders Weile,https://openalex.org/A5111510233,Anders Weile Larsen,https://api.openalex.org/works?filter=author.id:A5111510233,1.0,4.0,,True
Anding Wang,https://openalex.org/A5041987478,Anding Wang,https://api.openalex.org/works?filter=author.id:A5041987478,35.0,116.0,CN,True
Andrea Bamberg Migliano,https://openalex.org/A5076698573,Andrea Bamberg Migliano,https://api.openalex.org/works?filter=author.id:A5076698573,35.0,112.0,,True
Andrea Baronchelli,https://openalex.org/A5068182184,Andrea Baronchelli,https://api.openalex.org/works?filter=author.id:A5068182184,46.0,256.0,GB,True
Andrea Baños-Ramos,https://openalex.org/A5117345727,Andrea Baños-Ramos,https://api.openalex.org/works?filter=author.id:A5117345727,0.0,2.0,ES,True
Andrea Civilini,https://openalex.org/A5031499875,Andrea Civilini,https://api.openalex.org/works?filter=author.id:A5031499875,4.0,14.0,,True
Andrea Lo Sasso,https://openalex.org/A5102699008,Andrea Lo Sasso,https://api.openalex.org/works?filter=author.id:A5102699008,1.0,1.0,,True
Andrea Rapisarda,https://openalex.org/A5059301263,Andrea Rapisarda,https://api.openalex.org/works?filter=author.id:A5059301263,36.0,268.0,IT,True
Andrea W Wen-Yi,https://openalex.org/A5093402679,Andrea W Wen-Yi,https://api.openalex.org/works?filter=author.id:A5093402679,2.0,8.0,US,True
Andreas Bjerre-Nielsen,https://openalex.org/A5058732791,Andreas Bjerre-Nielsen,https://api.openalex.org/works?filter=author.id:A5058732791,10.0,32.0,DK,True
Andreas Christian Schneider,,,,,,,False
Andreas Flache,https://openalex.org/A5055990297,Andreas Flache,https://api.openalex.org/works?filter=author.id:A5055990297,41.0,234.0,NL,True
Andreas Kaltenbrunner,https://openalex.org/A5053529497,Andreas Kaltenbrunner,https://api.openalex.org/works?filter=author.id:A5053529497,27.0,134.0,ES,True
Andreas Maier,https://openalex.org/A5101619735,Andreas Maier,https://api.openalex.org/works?filter=author.id:A5101619735,53.0,1697.0,DE,True
Andreas Spitz,https://openalex.org/A5018128415,Andreas Spitz,https://api.openalex.org/works?filter=author.id:A5018128415,16.0,111.0,DE,True
Andres CASTRO,https://openalex.org/A5056767872,Andrés Castro-Beltrán,https://api.openalex.org/works?filter=author.id:A5056767872,22.0,56.0,MX,True
Andres Karjus,https://openalex.org/A5064355537,Andres Karjus,https://api.openalex.org/works?filter=author.id:A5064355537,9.0,46.0,EE,True
Andrew Crooks,https://openalex.org/A5049314735,Andrew Crooks,https://api.openalex.org/works?filter=author.id:A5049314735,42.0,210.0,,True
Andrew Halterman,https://openalex.org/A5021564671,Andrew Halterman,https://api.openalex.org/works?filter=author.id:A5021564671,2.0,3.0,US,True
Andrew Lippman,https://openalex.org/A5113714609,Andrew Lippman,https://api.openalex.org/works?filter=author.id:A5113714609,32.0,148.0,,True
Andrew Piper,https://openalex.org/A5027417114,Andrew Piper,https://api.openalex.org/works?filter=author.id:A5027417114,14.0,176.0,CA,True
Andrew Renninger,https://openalex.org/A5012236452,Andrew Renninger,https://api.openalex.org/works?filter=author.id:A5012236452,3.0,20.0,GB,True
Andrew Schauf,https://openalex.org/A5040651152,Andrew Schauf,https://api.openalex.org/works?filter=author.id:A5040651152,3.0,12.0,ID,True
André Calero Valdez,https://openalex.org/A5004787389,André Calero Valdez,https://api.openalex.org/works?filter=author.id:A5004787389,26.0,180.0,DE,True
André Mata,https://openalex.org/A5035729006,André Mata,https://api.openalex.org/works?filter=author.id:A5035729006,17.0,83.0,PT,True
Andrés Gvirtz,https://openalex.org/A5108018053,Andrés Gvirtz,https://api.openalex.org/works?filter=author.id:A5108018053,6.0,20.0,GB,True
Ane Rahbek Vierø,https://openalex.org/A5070868747,Ane Rahbek Vierø,https://api.openalex.org/works?filter=author.id:A5070868747,3.0,17.0,DK,True
Angel Hsing-Chi Hwang,https://openalex.org/A5085100954,Angel Hsing‐Chi Hwang,https://api.openalex.org/works?filter=author.id:A5085100954,10.0,44.0,,True
Angel Sánchez,https://openalex.org/A5077285926,Ángel Sánchez,https://api.openalex.org/works?filter=author.id:A5077285926,44.0,335.0,ES,True
Angelina Voggenreiter,https://openalex.org/A5033400036,Angelina Voggenreiter,https://api.openalex.org/works?filter=author.id:A5033400036,2.0,5.0,DE,True
Aniko Biro,https://openalex.org/A5021991324,Anikó Bíró,https://api.openalex.org/works?filter=author.id:A5021991324,15.0,67.0,,True
Anita Keshmirian,https://openalex.org/A5002117379,Anita Keshmirian,https://api.openalex.org/works?filter=author.id:A5002117379,3.0,7.0,,True
Anjalie Field,https://openalex.org/A5022479813,Anjalie Field,https://api.openalex.org/works?filter=author.id:A5022479813,29.0,131.0,US,True
Anku Rani,https://openalex.org/A5110627453,Anku Rani,https://api.openalex.org/works?filter=author.id:A5110627453,5.0,21.0,,True
Anli Peng,https://openalex.org/A5102631891,Anli Peng,https://api.openalex.org/works?filter=author.id:A5102631891,1.0,1.0,BE,True
Ann Nowe,https://openalex.org/A5064553018,Ann Nowé,https://api.openalex.org/works?filter=author.id:A5064553018,42.0,619.0,BE,True
Anna Beers,https://openalex.org/A5003185083,Andrew Beers,https://api.openalex.org/works?filter=author.id:A5003185083,22.0,80.0,US,True
Anna Bertani,https://openalex.org/A5093875938,Anna Bertani,https://api.openalex.org/works?filter=author.id:A5093875938,1.0,4.0,,True
Anna De Simoni,https://openalex.org/A5091770864,Anna De Simoni,https://api.openalex.org/works?filter=author.id:A5091770864,23.0,99.0,GB,True
Anna Sara Ligeti,https://openalex.org/A5061454360,Anna Sára Ligeti,https://api.openalex.org/works?filter=author.id:A5061454360,3.0,14.0,HU,True
Anna Seo Gyeong Choi,https://openalex.org/A5102733770,Anna Seo Gyeong Choi,https://api.openalex.org/works?filter=author.id:A5102733770,3.0,13.0,US,True
Anna Thoma,https://openalex.org/A5031351421,Anna Thoma,https://api.openalex.org/works?filter=author.id:A5031351421,1.0,1.0,,True
Anna-Carolina Haensch,https://openalex.org/A5037838698,Anna‐Carolina Haensch,https://api.openalex.org/works?filter=author.id:A5037838698,4.0,48.0,DE,True
Annabella Sakunkoo,https://openalex.org/A5109819792,Annabella Sakunkoo,https://api.openalex.org/works?filter=author.id:A5109819792,0.0,5.0,US,True
Anne C Kroon,https://openalex.org/A5018717377,Anne C. Kroon,https://api.openalex.org/works?filter=author.id:A5018717377,16.0,45.0,NL,True
Anne Driscoll,https://openalex.org/A5050026032,Anne K. Driscoll,https://api.openalex.org/works?filter=author.id:A5050026032,35.0,77.0,,True
Anne Maass,https://openalex.org/A5037013778,Anne Maass,https://api.openalex.org/works?filter=author.id:A5037013778,53.0,202.0,AE,True
Anne-Marie Nussberger,https://openalex.org/A5086655976,Anne-Marie Nußberger,https://api.openalex.org/works?filter=author.id:A5086655976,10.0,34.0,GB,True
Annett Heft,https://openalex.org/A5024066633,Annett Heft,https://api.openalex.org/works?filter=author.id:A5024066633,15.0,61.0,DE,True
Annika Fredén,https://openalex.org/A5091010256,Nils Gustafsson,https://api.openalex.org/works?filter=author.id:A5091010256,28.0,176.0,SE,True
Annina Claesson,https://openalex.org/A5074509683,Annina Claesson,https://api.openalex.org/works?filter=author.id:A5074509683,3.0,8.0,FR,True
Anthony Olejniczak,https://openalex.org/A5070489486,Anthony J. Olejniczak,https://api.openalex.org/works?filter=author.id:A5070489486,32.0,91.0,,True
Anthony Paik,https://openalex.org/A5090765519,Anthony Paik,https://api.openalex.org/works?filter=author.id:A5090765519,21.0,71.0,US,True
Antoine Vendeville,https://openalex.org/A5015651100,Antoine Vendeville,https://api.openalex.org/works?filter=author.id:A5015651100,4.0,21.0,FR,True
Anton Gollwitzer,https://openalex.org/A5031295007,Anton Gollwitzer,https://api.openalex.org/works?filter=author.id:A5031295007,19.0,59.0,NO,True
Antonina Zhiteneva,https://openalex.org/A5120126331,Antonina Zhiteneva,https://api.openalex.org/works?filter=author.id:A5120126331,0.0,2.0,,True
Aparna Ananthasubramaniam,https://openalex.org/A5053835888,Aparna Ananthasubramaniam,https://api.openalex.org/works?filter=author.id:A5053835888,3.0,18.0,US,True
Aparna Balagopalan,https://openalex.org/A5010008842,Aparna Balagopalan,https://api.openalex.org/works?filter=author.id:A5010008842,10.0,35.0,US,True
Arda Astam,https://openalex.org/A5119402064,Arda Astam,https://api.openalex.org/works?filter=author.id:A5119402064,0.0,1.0,DE,True
Ardyn Vivienne Olszko,,,,,,,False
Arianna Pera,https://openalex.org/A5040192490,Arianna Pera,https://api.openalex.org/works?filter=author.id:A5040192490,4.0,12.0,DK,True
Ariel Flint Ashery,https://openalex.org/A5114285271,Ariel Flint Ashery,https://api.openalex.org/works?filter=author.id:A5114285271,1.0,2.0,US,True
Ariella Kristal,https://openalex.org/A5039705639,Ariella Kristal,https://api.openalex.org/works?filter=author.id:A5039705639,6.0,37.0,US,True
Arkadiusz Lipiecki,https://openalex.org/A5080988332,Arkadiusz Lipiecki,https://api.openalex.org/works?filter=author.id:A5080988332,3.0,14.0,,True
Armin Pournaki,https://openalex.org/A5080502439,Armin Pournaki,https://api.openalex.org/works?filter=author.id:A5080502439,4.0,24.0,FR,True
Arnout van de Rijt,https://openalex.org/A5081982677,Arnout van de Rijt,https://api.openalex.org/works?filter=author.id:A5081982677,23.0,105.0,,True
Arthur Thomas Edward Capozzi Lupi,https://openalex.org/A5031186443,Arthur Capozzi,https://api.openalex.org/works?filter=author.id:A5031186443,3.0,14.0,IT,True
Arti Thakur,https://openalex.org/A5113328275,A.R. Thakur,https://api.openalex.org/works?filter=author.id:A5113328275,9.0,22.0,IN,True
Ashley Whillans,https://openalex.org/A5031735105,Ashley V. Whillans,https://api.openalex.org/works?filter=author.id:A5031735105,29.0,142.0,US,True
Ashley Young,https://openalex.org/A5072015577,Ashley D. Young,https://api.openalex.org/works?filter=author.id:A5072015577,9.0,11.0,AU,True
Astha Verma,https://openalex.org/A5101618291,Astha Verma,https://api.openalex.org/works?filter=author.id:A5101618291,11.0,54.0,IN,True
Asya Zhelyazkova,https://openalex.org/A5075866737,Asya Zhelyazkova,https://api.openalex.org/works?filter=author.id:A5075866737,15.0,40.0,NL,True
Atushi Ishikawa,https://openalex.org/A5001097474,Atushi Ishikawa,https://api.openalex.org/works?filter=author.id:A5001097474,12.0,103.0,,True
August Lohse,https://openalex.org/A5059152087,August Lohse,https://api.openalex.org/works?filter=author.id:A5059152087,2.0,3.0,,True
Austin van Loon,https://openalex.org/A5070302861,Austin van Loon,https://api.openalex.org/works?filter=author.id:A5070302861,8.0,31.0,US,True
Aviral Chawla,https://openalex.org/A5034182754,A. Chawla,https://api.openalex.org/works?filter=author.id:A5034182754,6.0,17.0,US,True
Axel Alness Borg,https://openalex.org/A5124876464,Axel Alness Borg,https://api.openalex.org/works?filter=author.id:A5124876464,0.0,1.0,SE,True
Axel Bruns,https://openalex.org/A5025254950,Axel Bruns,https://api.openalex.org/works?filter=author.id:A5025254950,58.0,526.0,AU,True
Ayan-Yue Gupta,https://openalex.org/A5058457102,Ayan-Yue Gupta,https://api.openalex.org/works?filter=author.id:A5058457102,2.0,22.0,GB,True
Ayush Kumar,https://openalex.org/A5028360618,Ayush Kumar,https://api.openalex.org/works?filter=author.id:A5028360618,34.0,158.0,GB,True
Azadeh Alavi,https://openalex.org/A5078604354,Afsáneh Alavi,https://api.openalex.org/works?filter=author.id:A5078604354,49.0,379.0,US,True
Azza Bouleimen,https://openalex.org/A5076789096,Azza Bouleimen,https://api.openalex.org/works?filter=author.id:A5076789096,1.0,8.0,CH,True
Babak Hemmatian,https://openalex.org/A5043382223,Babak Hemmatian,https://api.openalex.org/works?filter=author.id:A5043382223,6.0,32.0,US,True
Babak Heydari,https://openalex.org/A5073502448,Yakov Bart,https://api.openalex.org/works?filter=author.id:A5073502448,18.0,85.0,US,True
Baird Howland,https://openalex.org/A5033543507,Baird Howland,https://api.openalex.org/works?filter=author.id:A5033543507,5.0,6.0,US,True
Balázs Lengyel,https://openalex.org/A5005839111,Balázs Lengyel,https://api.openalex.org/works?filter=author.id:A5005839111,22.0,173.0,HU,True
Bangzhao Shu,https://openalex.org/A5110786764,Bangzhao Shu,https://api.openalex.org/works?filter=author.id:A5110786764,1.0,5.0,,True
Bao Tran Truong,https://openalex.org/A5090414289,Bao Tran Truong,https://api.openalex.org/works?filter=author.id:A5090414289,7.0,18.0,,True
Barbara Kamińska,https://openalex.org/A5035237325,Barbara Kamińska,https://api.openalex.org/works?filter=author.id:A5035237325,19.0,86.0,,True
Bastiaan Bruinsma,https://openalex.org/A5101490440,Bastiaan Bruinsma,https://api.openalex.org/works?filter=author.id:A5101490440,8.0,25.0,US,True
Bedoor AlShebli,https://openalex.org/A5036868218,Bedoor AlShebli,https://api.openalex.org/works?filter=author.id:A5036868218,14.0,37.0,AE,True
Belinda Wade,https://openalex.org/A5038850161,Belinda Wade,https://api.openalex.org/works?filter=author.id:A5038850161,12.0,40.0,AU,True
Bella Struminskaya,https://openalex.org/A5059953820,Bella Struminskaya,https://api.openalex.org/works?filter=author.id:A5059953820,13.0,72.0,,True
Belén C Saldías Fuentes,,,,,,,False
Ben Dennes,https://openalex.org/A5074377249,Ben Dennes,https://api.openalex.org/works?filter=author.id:A5074377249,1.0,2.0,GB,True
Ben Lasse Wolf,https://openalex.org/A5011976528,Ben Lasse Wolf,https://api.openalex.org/works?filter=author.id:A5011976528,0.0,3.0,DE,True
Bendegúz Váradi,https://openalex.org/A5092353461,Bendegúz Váradi,https://api.openalex.org/works?filter=author.id:A5092353461,1.0,2.0,HU,True
Benjamin Frank Maier,https://openalex.org/A5042318907,Benjamin F. Maier,https://api.openalex.org/works?filter=author.id:A5042318907,13.0,51.0,DK,True
Benjamin Harack,https://openalex.org/A5023671549,Benjamin Harack,https://api.openalex.org/works?filter=author.id:A5023671549,4.0,10.0,CA,True
Benjamin Ooghe-Tabanou,https://openalex.org/A5014243814,Benjamin Ooghe-Tabanou,https://api.openalex.org/works?filter=author.id:A5014243814,6.0,65.0,FR,True
Benjamin S. Manning,https://openalex.org/A5012908746,Benjamin Manning,https://api.openalex.org/works?filter=author.id:A5012908746,6.0,13.0,US,True
Beom Jun Kim,https://openalex.org/A5101866798,Beom Jun Kim,https://api.openalex.org/works?filter=author.id:A5101866798,31.0,235.0,KR,True
Bernhard Haslhofer,https://openalex.org/A5078932059,Bernhard Haslhofer,https://api.openalex.org/works?filter=author.id:A5078932059,25.0,147.0,AT,True
Bernice Pescosolido,https://openalex.org/A5007941468,Bernice A. Pescosolido,https://api.openalex.org/works?filter=author.id:A5007941468,65.0,327.0,US,True
Betul Ozturan,https://openalex.org/A5115534702,Betül Özturan,https://api.openalex.org/works?filter=author.id:A5115534702,0.0,2.0,US,True
Bijin Joseph,https://openalex.org/A5022729086,Bijin Joseph,https://api.openalex.org/works?filter=author.id:A5022729086,2.0,5.0,IN,True
Binglu Wang,https://openalex.org/A5043220498,Binglu Wang,https://api.openalex.org/works?filter=author.id:A5043220498,20.0,100.0,CN,True
Björn Komander,https://openalex.org/A5099860123,Björn Komander,https://api.openalex.org/works?filter=author.id:A5099860123,1.0,1.0,,True
Björn Lindström,https://openalex.org/A5063460972,Björn Lindström,https://api.openalex.org/works?filter=author.id:A5063460972,21.0,61.0,SE,True
Björn Pelzer,https://openalex.org/A5044522890,Björn Pelzer,https://api.openalex.org/works?filter=author.id:A5044522890,11.0,34.0,SE,True
Björn Ross,https://openalex.org/A5023817571,Björn Roß,https://api.openalex.org/works?filter=author.id:A5023817571,20.0,79.0,GB,True
Blas Kolic,https://openalex.org/A5086259064,Blas Kolic,https://api.openalex.org/works?filter=author.id:A5086259064,2.0,7.0,ES,True
Bogang Jun,https://openalex.org/A5007458424,Bogang Jun,https://api.openalex.org/works?filter=author.id:A5007458424,10.0,46.0,KR,True
Bogdan Mursan,,,,,,,False
Bojan Evkoski,https://openalex.org/A5038050687,Bojan Evkoski,https://api.openalex.org/works?filter=author.id:A5038050687,3.0,17.0,AT,True
Bowen Yi,https://openalex.org/A5009398155,Bowen Yi,https://api.openalex.org/works?filter=author.id:A5009398155,29.0,80.0,CN,True
Boyu Wang,https://openalex.org/A5079920605,Pong C. Yuen,https://api.openalex.org/works?filter=author.id:A5079920605,64.0,345.0,HK,True
Brahmani Nutakki,https://openalex.org/A5044851119,Brahmani Nutakki,https://api.openalex.org/works?filter=author.id:A5044851119,3.0,6.0,DE,True
Bramantyo Ibrahim Supriyatno,https://openalex.org/A5116004343,Bramantyo Ibrahim Supriyatno,https://api.openalex.org/works?filter=author.id:A5116004343,2.0,3.0,DE,True
Brandon Stewart,https://openalex.org/A5113226689,Brandon Stewart,https://api.openalex.org/works?filter=author.id:A5113226689,31.0,302.0,US,True
Brendan O'Connor,https://openalex.org/A5074307166,Brendan O’Connor,https://api.openalex.org/works?filter=author.id:A5074307166,37.0,138.0,,True
Brennan Klein,https://openalex.org/A5034550396,Brennan Klein,https://api.openalex.org/works?filter=author.id:A5034550396,16.0,68.0,US,True
Brian Uzzi,https://openalex.org/A5015711710,Brian Uzzi,https://api.openalex.org/works?filter=author.id:A5015711710,51.0,191.0,US,True
Bruce Lambert,https://openalex.org/A5033897197,Bruce L. Lambert,https://api.openalex.org/works?filter=author.id:A5033897197,33.0,156.0,US,True
Bruno Damásio,https://openalex.org/A5002552451,Bruno Figueiredo Damásio,https://api.openalex.org/works?filter=author.id:A5002552451,23.0,98.0,BR,True
